Tillage Practice,Temperature,Moisture,Soil,$\Delta\textrm{SOC}_T$
Conventional,All,All,All,0
Reduced-till,Cool,Dry,Other,0.02
Reduced-till,Cool,Dry,Sandy,0.07
Reduced-till,Cool,Moist,Other,0.07
Reduced-till,Cool,Moist,Sandy,0.17
Reduced-till,Warm,Dry,Other,0.19
Reduced-till,Warm,Dry,Sandy,0.09
Reduced-till,Warm,Moist,Other,0.3
Reduced-till,Warm,Moist,Sandy,0.18
No-till,Cool,Dry,Other,0.02
No-till,Cool,Dry,Sandy,0.08
No-till,Cool,Moist,Other,0.08
No-till,Cool,Moist,Sandy,0.18
No-till,Warm,Dry,Other,0.21
No-till,Warm,Dry,Sandy,0.1
No-till,Warm,Moist,Other,0.33
No-till,Warm,Moist,Sandy,0.21
