STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,sand,silt,clay,npp,temp,h2o,sat,soc,climate,STATE,texture,soil.class
1,1,161526,1001,Autauga,Autauga County,6,H1,G4020,,33860,,A,1539602123,25706961,32.5322367,-86.6464395,36.625,28.6875,34.6875,5.3441801071167,6.58259391784668,0.319366753101349,0.439503555297852,26.1492300033569,Warm Moist,Alabama,ClLo,Clayey
1,3,161527,1003,Baldwin,Baldwin County,6,H1,G4020,380,19300,,A,4117546676,1133055836,30.6592183,-87.7460666,45.52734375,29.16015625,25.3125,5.84721654653549,10.2982587814331,0.332113686949015,0.43407998085022,59.1004699468613,Warm Moist,Alabama,Lo,Silty
1,5,161528,1005,Barbour,Barbour County,6,H1,G4020,,21640,,A,2292144655,50538698,31.8702531,-85.4051035,50.6614583333333,23.6927083333333,25.6458333333333,5.743377049764,7.68600034713745,0.288760373989741,0.439089368184408,25.0558741887411,Warm Moist,Alabama,SaClLo,Sandy
1,7,161529,1007,Bibb,Bibb County,6,H1,G4020,142,13820,,A,1612167481,9602089,33.0158929,-87.1271475,42.75,26.9375,30.3125,5.17081046104431,5.99423670768738,0.322286710143089,0.43889778137207,25.5715954303741,Warm Moist,Alabama,ClLo,Clayey
1,9,161530,1009,Blount,Blount County,6,H1,G4020,142,13820,,A,1670103911,15015423,33.9773575,-86.56644,49.25,26.6875,24.0625,4.57150411605835,3.96501207351685,0.30057030916214,0.436664619445801,23.358781337738,Warm Moist,Alabama,SaClLo,Sandy
1,11,161531,1011,Bullock,Bullock County,6,H1,G4020,,,,A,1613059160,6054988,32.1017589,-85.7172613,46.5364583333334,25.5677083333333,27.8958333333333,5.67809375127157,7.35184701283773,0.288888206084569,0.438808224995931,24.9222691853841,Warm Moist,Alabama,SaClLo,Sandy
1,13,161532,1013,Butler,Butler County,6,H1,G4020,,,,A,2012002530,2701198,31.751667,-86.6819689,48.4375,23.765625,27.796875,5.65994691848755,7.99387407302856,0.302341476082802,0.4398659324646,27.4314045906067,Warm Moist,Alabama,SaClLo,Sandy
1,15,161533,1015,Calhoun,Calhoun County,6,H1,G4020,,11500,,A,1569189622,16627597,33.7717061,-85.8225133,49,27,24,4.97493863105774,4.49581098556519,0.295075267553329,0.436450805664063,21.2079191207886,Warm Moist,Alabama,SaClLo,Sandy
1,17,161534,1017,Chambers,Chambers County,6,H1,G4020,194,46740,,A,1545085607,16971701,32.9155039,-85.3940321,46.1875,27.5625,26.25,5.42210197448731,5.62504005432129,0.291623115539551,0.436967506408691,21.427743434906,Warm Moist,Alabama,Lo,Silty
1,19,161535,1019,Cherokee,Cherokee County,6,H1,G4020,,,,A,1433623321,120308339,34.0695153,-85.6542417,49,27,24,4.73911142349243,3.65321338176727,0.299827620387077,0.436450805664063,23.8696873188019,Warm Moist,Alabama,SaClLo,Sandy
1,21,161536,1021,Chilton,Chilton County,6,H1,G4020,142,13820,,A,1794477075,20592144,32.8540514,-86.7266071,40.375,27.9375,31.6875,5.24313735961914,6.17590999603272,0.312923073768616,0.43881462097168,25.0880670547485,Warm Moist,Alabama,ClLo,Clayey
1,23,161537,1023,Choctaw,Choctaw County,6,H1,G4020,,,,A,2365869835,19144469,31.9909539,-88.2488894,48.875,24.59375,26.53125,5.40438437461853,7.46738743782044,0.328701734542847,0.438556251525879,29.6351933479309,Warm Moist,Alabama,SaClLo,Sandy
1,25,161538,1025,Clarke,Clarke County,6,H1,G4020,,,,A,3207494111,36657891,31.6855211,-87.8186244,50.865234375,23.0859375,26.048828125,5.55339860916138,8.11539804935455,0.320813454687595,0.439487380981445,30.6735104322433,Warm Moist,Alabama,SaClLo,Sandy
1,27,161539,1027,Clay,Clay County,6,H1,G4020,,,,A,1564251835,5285207,33.2703999,-85.8635254,47.828125,27.234375,24.9375,5.19366884231567,5.11711359024048,0.292232155799866,0.436666069030762,20.4770398139954,Warm Moist,Alabama,SaClLo,Sandy
1,29,161540,1029,Cleburne,Cleburne County,6,H1,G4020,,,,A,1450663940,2354896,33.6719637,-85.5161261,49,27,24,5.07624912261963,4.36146426200867,0.295544251799583,0.436450805664063,21.0517179965973,Warm Moist,Alabama,SaClLo,Sandy
1,31,161541,1031,Coffee,Coffee County,6,H1,G4020,222,21460,,A,1758565925,3907189,31.402258,-85.9896022,51.578125,23.859375,24.5625,5.89182162284851,8.89159297943115,0.289184406399727,0.438030071258545,32.1169233322144,Warm Moist,Alabama,SaClLo,Sandy
1,33,161542,1033,Colbert,Colbert County,6,H1,G4020,,22520,,A,1535202321,79700277,34.703112,-87.8014569,49.8125,24.296875,25.890625,4.25186204910278,3.04819595813751,0.320911854505539,0.438788890838623,25.7200813293457,Warm Moist,Alabama,SaClLo,Sandy
1,35,161543,1035,Conecuh,Conecuh County,6,H1,G4020,,,,A,2202007854,6632046,31.4309257,-86.9887221,51.4296875,23.529296875,25.041015625,5.75121521949768,8.66137790679932,0.302607119083405,0.438568916320801,32.0167857408524,Warm Moist,Alabama,SaClLo,Sandy
1,37,161544,1037,Coosa,Coosa County,6,H1,G4020,142,45180,,A,1685850815,39987271,32.9314453,-86.2434818,42.09375,28.25,29.65625,5.23955082893372,5.91398024559021,0.294049389660358,0.437849464416504,23.1289887428284,Warm Moist,Alabama,ClLo,Clayey
1,39,161545,1039,Covington,Covington County,6,H1,G4020,,,,A,2669129020,34231390,31.2439873,-86.4487206,51.375,24.125,24.5,5.8751871585846,8.94771528244019,0.292601063847542,0.437766933441162,32.8364562988281,Warm Moist,Alabama,SaClLo,Sandy
1,41,161546,1041,Crenshaw,Crenshaw County,6,H1,G4020,,,,A,1576952799,5388561,31.7328256,-86.3192219,48.3125,23.921875,27.765625,5.71926856040955,8.00423550605774,0.292324066162109,0.43975902557373,26.7431128025055,Warm Moist,Alabama,SaClLo,Sandy
1,43,161547,1043,Cullman,Cullman County,6,H1,G4020,142,18980,,A,1903073019,52422496,34.1319229,-86.8692666,50,25.75,24.25,4.49621641635895,3.75840371847153,0.306411646306515,0.437306060791016,24.679781794548,Warm Moist,Alabama,SaClLo,Sandy
1,45,161548,1045,Dale,Dale County,6,H1,G4020,222,37120,,A,1453244553,4082940,31.4306536,-85.609476,52.2213541666667,23.0182291666667,24.7604166666667,5.85388485590617,8.63857746124268,0.289160132408142,0.438863271077474,30.8480040232341,Warm Moist,Alabama,SaClLo,Sandy
1,47,161549,1047,Dallas,Dallas County,6,H1,G4020,,42820,,A,2534919599,39124778,32.3335397,-87.1143556,38.6015625,27.201171875,34.197265625,5.38128042221069,7.04609417915344,0.340976744890213,0.440219993591309,27.5687223672867,Warm Moist,Alabama,ClLo,Clayey
